distance_km,year,onset_date,onset_doy
0.0,2018,2018-03-08,67
0.1,2018,2018-03-08,67
0.2,2018,2018-03-08,67
0.3,2018,2018-03-08,67
0.4,2018,2018-03-08,67
0.5,2018,2018-03-08,67
0.6,2018,2018-03-08,67
1.5,2018,2018-03-08,67
1.6,2018,2018-03-08,67
1.7,2018,2018-03-20,79
2.3,2018,2018-03-20,79
2.4,2018,2018-05-31,151
3.1,2018,2018-04-13,103
5.4,2018,2018-03-20,79
5.6,2018,2018-03-08,67
5.7,2018,2018-03-08,67
5.8,2018,2018-03-08,67
6.3,2018,2018-05-19,139
6.4,2018,2018-05-19,139
6.5,2018,2018-05-19,139
6.6,2018,2018-05-19,139
6.7,2018,2018-05-19,139
7.1,2018,2018-03-08,67
7.2,2018,2018-03-08,67
7.6,2018,2018-04-13,103
7.7,2018,2018-03-08,67
7.8,2018,2018-04-13,103
8.6,2018,2018-05-07,127
8.8,2018,2018-03-20,79
8.9,2018,2018-04-13,103
9.0,2018,2018-04-13,103
9.4,2018,2018-04-13,103
10.0,2018,2018-03-08,67
10.1,2018,2018-05-31,151
10.3,2018,2018-04-13,103
10.4,2018,2018-04-13,103
10.5,2018,2018-04-13,103
10.6,2018,2018-04-13,103
10.9,2018,2018-05-07,127
11.1,2018,2018-04-13,103
11.2,2018,2018-03-08,67
11.4,2018,2018-03-08,67
11.5,2018,2018-05-07,127
11.6,2018,2018-05-07,127
11.7,2018,2018-05-07,127
11.8,2018,2018-05-31,151
12.1,2018,2018-04-13,103
12.8,2018,2018-05-07,127
13.2,2018,2018-05-07,127
13.4,2018,2018-03-08,67
13.5,2018,2018-04-13,103
15.0,2018,2018-05-19,139
15.1,2018,2018-05-19,139
15.2,2018,2018-05-19,139
15.4,2018,2018-05-19,139
15.5,2018,2018-05-19,139
15.6,2018,2018-05-19,139
15.7,2018,2018-05-07,127
15.8,2018,2018-03-08,67
15.9,2018,2018-05-19,139
16.0,2018,2018-03-08,67
16.1,2018,2018-03-08,67
16.2,2018,2018-03-08,67
16.3,2018,2018-03-08,67
16.7,2018,2018-04-13,103
16.8,2018,2018-04-13,103
16.9,2018,2018-03-08,67
17.0,2018,2018-04-13,103
17.1,2018,2018-04-13,103
17.2,2018,2018-05-07,127
17.6,2018,2018-05-19,139
17.7,2018,2018-03-08,67
19.0,2018,2018-05-19,139
20.0,2018,2018-03-08,67
21.1,2018,2018-05-31,151
21.2,2018,2018-03-08,67
22.0,2018,2018-03-08,67
22.1,2018,2018-03-08,67
22.2,2018,2018-03-08,67
22.3,2018,2018-03-08,67
22.4,2018,2018-03-20,79
22.5,2018,2018-03-20,79
0.0,2019,2019-05-02,122
0.1,2019,2019-05-02,122
0.9,2019,2019-04-08,98
1.0,2019,2019-03-27,86
1.1,2019,2019-03-27,86
1.2,2019,2019-03-27,86
1.3,2019,2019-05-14,134
