distance_km,year,onset_date,onset_doy
28.9,2017,2017-04-18,108
29.0,2017,2017-04-18,108
29.1,2017,2017-04-18,108
29.2,2017,2017-04-06,96
29.3,2017,2017-04-18,108
29.4,2017,2017-04-06,96
29.5,2017,2017-04-30,120
29.6,2017,2017-04-30,120
29.7,2017,2017-04-30,120
30.2,2017,2017-06-05,156
30.3,2017,2017-03-13,72
30.4,2017,2017-03-13,72
30.5,2017,2017-03-13,72
30.6,2017,2017-03-13,72
30.7,2017,2017-03-01,60
30.8,2017,2017-03-01,60
30.9,2017,2017-03-01,60
31.0,2017,2017-03-01,60
31.1,2017,2017-03-01,60
31.2,2017,2017-03-01,60
31.3,2017,2017-03-01,60
31.4,2017,2017-03-01,60
31.5,2017,2017-03-25,84
31.7,2017,2017-03-01,60
31.8,2017,2017-03-01,60
31.9,2017,2017-03-01,60
32.0,2017,2017-03-01,60
32.2,2017,2017-03-01,60
32.3,2017,2017-03-01,60
32.4,2017,2017-03-01,60
32.5,2017,2017-03-01,60
32.6,2017,2017-03-01,60
32.7,2017,2017-03-01,60
32.8,2017,2017-03-01,60
32.9,2017,2017-03-01,60
33.0,2017,2017-03-01,60
33.1,2017,2017-03-01,60
33.2,2017,2017-03-01,60
33.3,2017,2017-03-01,60
33.4,2017,2017-03-01,60
33.5,2017,2017-03-25,84
33.6,2017,2017-03-25,84
33.9,2017,2017-04-06,96
34.0,2017,2017-03-01,60
34.1,2017,2017-03-01,60
34.2,2017,2017-03-25,84
35.3,2017,2017-03-25,84
35.4,2017,2017-03-13,72
35.5,2017,2017-03-13,72
35.6,2017,2017-03-13,72
35.7,2017,2017-03-13,72
35.8,2017,2017-03-13,72
35.8,2017,2017-03-13,72
0.3,2018,2018-05-07,127
0.4,2018,2018-05-07,127
1.6,2018,2018-03-08,67
1.7,2018,2018-03-08,67
1.9,2018,2018-05-07,127
2.9,2018,2018-05-07,127
3.0,2018,2018-05-07,127
3.1,2018,2018-03-08,67
3.2,2018,2018-03-08,67
3.3,2018,2018-05-07,127
3.4,2018,2018-03-08,67
3.5,2018,2018-03-08,67
3.6,2018,2018-03-08,67
3.7,2018,2018-05-07,127
3.8,2018,2018-05-07,127
3.9,2018,2018-05-07,127
4.0,2018,2018-05-07,127
4.2,2018,2018-03-08,67
4.3,2018,2018-03-08,67
4.4,2018,2018-03-08,67
4.5,2018,2018-05-07,127
4.7,2018,2018-05-07,127
4.8,2018,2018-05-07,127
5.1,2018,2018-03-08,67
5.5,2018,2018-03-08,67
5.6,2018,2018-03-08,67
5.7,2018,2018-03-08,67
5.9,2018,2018-05-07,127
6.2,2018,2018-05-07,127
6.6,2018,2018-05-07,127
6.7,2018,2018-05-07,127
6.8,2018,2018-03-08,67
6.9,2018,2018-03-08,67
7.0,2018,2018-05-07,127
7.7,2018,2018-03-08,67
7.8,2018,2018-05-07,127
8.1,2018,2018-03-08,67
8.7,2018,2018-03-08,67
8.8,2018,2018-03-08,67
8.9,2018,2018-03-08,67
9.0,2018,2018-03-08,67
9.4,2018,2018-03-08,67
9.5,2018,2018-03-08,67
9.6,2018,2018-03-08,67
9.7,2018,2018-03-08,67
9.8,2018,2018-03-08,67
9.9,2018,2018-03-08,67
10.0,2018,2018-03-08,67
10.2,2018,2018-05-07,127
10.3,2018,2018-05-07,127
10.5,2018,2018-03-08,67
10.6,2018,2018-03-08,67
10.9,2018,2018-05-07,127
12.5,2018,2018-03-08,67
12.6,2018,2018-03-08,67
12.7,2018,2018-03-08,67
12.9,2018,2018-05-07,127
13.0,2018,2018-05-07,127
13.1,2018,2018-05-07,127
13.2,2018,2018-05-07,127
13.5,2018,2018-03-08,67
13.9,2018,2018-03-08,67
14.0,2018,2018-03-08,67
14.1,2018,2018-03-08,67
14.2,2018,2018-05-07,127
15.4,2018,2018-05-07,127
15.5,2018,2018-03-08,67
15.6,2018,2018-03-08,67
15.7,2018,2018-05-07,127
15.8,2018,2018-05-07,127
16.4,2018,2018-03-08,67
16.5,2018,2018-03-08,67
17.5,2018,2018-03-08,67
17.6,2018,2018-03-08,67
18.4,2018,2018-03-08,67
18.5,2018,2018-03-08,67
19.0,2018,2018-05-07,127
19.1,2018,2018-03-08,67
19.3,2018,2018-05-07,127
19.4,2018,2018-03-08,67
19.5,2018,2018-03-08,67
19.6,2018,2018-03-08,67
19.7,2018,2018-03-08,67
19.8,2018,2018-05-07,127
20.0,2018,2018-05-07,127
20.1,2018,2018-05-07,127
20.3,2018,2018-05-07,127
20.4,2018,2018-05-07,127
20.5,2018,2018-05-07,127
20.6,2018,2018-05-07,127
20.7,2018,2018-05-07,127
21.1,2018,2018-03-08,67
21.2,2018,2018-03-08,67
21.3,2018,2018-03-08,67
21.6,2018,2018-03-08,67
21.7,2018,2018-03-08,67
21.8,2018,2018-03-08,67
21.9,2018,2018-03-08,67
22.0,2018,2018-03-08,67
22.1,2018,2018-03-08,67
22.2,2018,2018-03-08,67
22.3,2018,2018-03-08,67
22.4,2018,2018-03-08,67
22.5,2018,2018-05-07,127
22.6,2018,2018-05-07,127
22.7,2018,2018-05-07,127
22.9,2018,2018-05-07,127
23.1,2018,2018-05-07,127
23.3,2018,2018-05-07,127
23.4,2018,2018-03-08,67
23.5,2018,2018-03-08,67
23.6,2018,2018-03-08,67
24.1,2018,2018-03-08,67
24.2,2018,2018-03-08,67
24.3,2018,2018-03-08,67
24.4,2018,2018-03-08,67
24.5,2018,2018-03-08,67
24.6,2018,2018-03-08,67
24.8,2018,2018-05-07,127
24.9,2018,2018-05-07,127
25.1,2018,2018-03-08,67
25.2,2018,2018-03-08,67
25.5,2018,2018-05-07,127
25.6,2018,2018-05-07,127
25.8,2018,2018-03-08,67
25.9,2018,2018-03-08,67
26.5,2018,2018-03-08,67
26.7,2018,2018-03-08,67
26.8,2018,2018-03-08,67
26.9,2018,2018-03-08,67
27.1,2018,2018-03-08,67
27.5,2018,2018-03-08,67
27.6,2018,2018-03-08,67
27.7,2018,2018-03-08,67
27.8,2018,2018-03-08,67
27.9,2018,2018-03-08,67
28.6,2018,2018-05-07,127
28.7,2018,2018-03-08,67
28.8,2018,2018-05-19,139
28.9,2018,2018-06-24,175
29.0,2018,2018-05-31,151
29.1,2018,2018-05-19,139
29.2,2018,2018-03-20,79
29.3,2018,2018-03-08,67
29.4,2018,2018-03-08,67
29.5,2018,2018-03-08,67
29.6,2018,2018-03-08,67
29.7,2018,2018-04-13,103
29.8,2018,2018-04-13,103
29.9,2018,2018-04-01,91
30.0,2018,2018-04-25,115
30.4,2018,2018-03-20,79
30.5,2018,2018-03-20,79
30.6,2018,2018-03-20,79
30.7,2018,2018-03-20,79
30.8,2018,2018-03-20,79
30.9,2018,2018-03-20,79
31.0,2018,2018-03-20,79
31.1,2018,2018-03-20,79
31.2,2018,2018-04-01,91
31.3,2018,2018-04-01,91
