distance_km,year,onset_date,onset_doy
33.8,2018,2018-05-31,151
34.3,2018,2018-05-19,139
34.4,2018,2018-05-19,139
36.2,2018,2018-05-19,139
36.6,2018,2018-05-19,139
36.7,2018,2018-05-19,139
36.9,2018,2018-05-19,139
37.0,2018,2018-05-19,139
37.1,2018,2018-05-19,139
37.4,2018,2018-05-19,139
37.8,2018,2018-05-07,127
38.0,2018,2018-03-08,67
38.3,2018,2018-04-13,103
38.4,2018,2018-04-13,103
32.8,2019,2019-04-08,98
32.9,2019,2019-04-08,98
33.0,2019,2019-03-15,74
33.2,2019,2019-03-15,74
34.1,2019,2019-03-03,62
34.2,2019,2019-03-03,62
34.3,2019,2019-06-07,158
34.4,2019,2019-03-03,62
34.5,2019,2019-03-03,62
34.6,2019,2019-06-07,158
34.7,2019,2019-04-08,98
34.8,2019,2019-05-26,146
35.0,2019,2019-05-26,146
35.1,2019,2019-03-03,62
35.2,2019,2019-03-03,62
35.3,2019,2019-04-08,98
35.4,2019,2019-03-03,62
35.5,2019,2019-03-15,74
35.8,2019,2019-03-15,74
35.9,2019,2019-05-26,146
36.5,2019,2019-03-27,86
37.0,2019,2019-04-20,110
37.1,2019,2019-03-03,62
37.2,2019,2019-06-07,158
37.3,2019,2019-06-07,158
37.4,2019,2019-03-03,62
37.5,2019,2019-04-08,98
37.6,2019,2019-03-03,62
37.8,2019,2019-03-15,74
37.9,2019,2019-03-03,62
38.3,2019,2019-03-15,74
38.4,2019,2019-03-15,74
38.5,2019,2019-04-20,110
32.8,2020,2020-04-14,105
32.9,2020,2020-03-09,69
33.0,2020,2020-03-09,69
33.1,2020,2020-05-08,129
33.2,2020,2020-06-01,153
33.5,2020,2020-06-13,165
33.7,2020,2020-04-14,105
33.8,2020,2020-03-09,69
33.9,2020,2020-06-01,153
34.0,2020,2020-03-09,69
34.1,2020,2020-03-09,69
34.2,2020,2020-06-01,153
34.3,2020,2020-06-01,153
34.4,2020,2020-05-20,141
34.5,2020,2020-05-08,129
34.6,2020,2020-05-08,129
34.7,2020,2020-05-08,129
34.8,2020,2020-03-09,69
34.9,2020,2020-04-26,117
35.0,2020,2020-04-26,117
35.1,2020,2020-03-21,81
35.2,2020,2020-03-09,69
35.3,2020,2020-03-09,69
35.4,2020,2020-04-14,105
35.5,2020,2020-06-13,165
35.8,2020,2020-06-13,165
35.9,2020,2020-03-09,69
36.0,2020,2020-06-13,165
36.1,2020,2020-06-13,165
36.2,2020,2020-05-20,141
36.3,2020,2020-06-13,165
36.4,2020,2020-06-13,165
36.5,2020,2020-06-01,153
36.6,2020,2020-06-01,153
36.8,2020,2020-03-09,69
36.9,2020,2020-03-09,69
37.0,2020,2020-03-09,69
37.4,2020,2020-03-09,69
37.5,2020,2020-06-13,165
37.6,2020,2020-03-21,81
37.7,2020,2020-03-21,81
37.8,2020,2020-03-09,69
38.0,2020,2020-05-20,141
38.1,2020,2020-05-20,141
38.4,2020,2020-03-09,69
38.5,2020,2020-03-09,69
38.6,2020,2020-06-01,153
32.8,2021,2021-03-04,63
33.0,2021,2021-05-27,147
33.2,2021,2021-06-08,159
33.3,2021,2021-05-27,147
33.7,2021,2021-06-08,159
33.8,2021,2021-03-28,87
33.9,2021,2021-03-28,87
34.3,2021,2021-04-09,99
34.4,2021,2021-04-21,111
34.9,2021,2021-04-09,99
35.1,2021,2021-04-09,99
35.3,2021,2021-03-04,63
35.4,2021,2021-03-04,63
35.5,2021,2021-05-03,123
35.6,2021,2021-05-03,123
35.8,2021,2021-03-04,63
35.9,2021,2021-03-16,75
36.0,2021,2021-03-16,75
36.2,2021,2021-04-21,111
36.3,2021,2021-03-04,63
36.4,2021,2021-03-04,63
36.5,2021,2021-03-04,63
36.6,2021,2021-03-28,87
36.7,2021,2021-05-15,135
36.9,2021,2021-03-28,87
37.0,2021,2021-03-28,87
37.1,2021,2021-03-28,87
37.2,2021,2021-03-04,63
37.4,2021,2021-05-15,135
37.5,2021,2021-05-03,123
37.6,2021,2021-03-04,63
37.8,2021,2021-06-08,159
38.0,2021,2021-04-21,111
38.1,2021,2021-03-28,87
38.2,2021,2021-03-28,87
38.3,2021,2021-03-28,87
38.4,2021,2021-03-28,87
38.5,2021,2021-03-28,87
38.6,2021,2021-05-03,123
32.9,2022,2022-04-04,94
33.0,2022,2022-06-15,166
33.1,2022,2022-06-15,166
33.3,2022,2022-05-22,142
33.4,2022,2022-05-22,142
33.6,2022,2022-05-22,142
33.7,2022,2022-04-28,118
33.8,2022,2022-04-16,106
33.9,2022,2022-05-22,142
34.0,2022,2022-05-22,142
34.1,2022,2022-05-22,142
34.5,2022,2022-05-10,130
34.8,2022,2022-06-15,166
34.9,2022,2022-04-04,94
35.0,2022,2022-04-04,94
35.1,2022,2022-04-04,94
35.2,2022,2022-04-16,106
35.3,2022,2022-06-15,166
35.4,2022,2022-06-15,166
35.5,2022,2022-06-15,166
35.9,2022,2022-05-10,130
36.0,2022,2022-05-10,130
36.3,2022,2022-05-10,130
36.5,2022,2022-05-10,130
36.6,2022,2022-04-16,106
36.7,2022,2022-04-04,94
36.8,2022,2022-04-28,118
36.9,2022,2022-04-28,118
37.5,2022,2022-06-03,154
37.7,2022,2022-05-10,130
37.9,2022,2022-05-22,142
38.3,2022,2022-03-11,70
38.4,2022,2022-03-11,70
38.5,2022,2022-05-22,142
32.7,2023,2023-03-30,89
35.1,2023,2023-05-05,125
35.6,2023,2023-03-30,89
36.5,2023,2023-03-18,77
36.6,2023,2023-03-18,77
36.7,2023,2023-05-29,149
36.8,2023,2023-04-11,101
36.9,2023,2023-04-11,101
37.0,2023,2023-04-11,101
37.1,2023,2023-04-11,101
37.2,2023,2023-05-29,149
37.6,2023,2023-04-11,101
37.7,2023,2023-04-11,101
38.0,2023,2023-03-30,89
38.3,2023,2023-03-30,89
32.7,2024,2024-03-24,84
32.9,2024,2024-02-29,60
33.8,2024,2024-03-12,72
33.9,2024,2024-03-12,72
34.3,2024,2024-05-23,144
34.4,2024,2024-05-23,144
34.5,2024,2024-05-23,144
34.6,2024,2024-04-29,120
34.7,2024,2024-04-29,120
34.8,2024,2024-03-12,72
34.9,2024,2024-03-12,72
35.0,2024,2024-03-12,72
35.2,2024,2024-04-29,120
35.3,2024,2024-04-29,120
35.4,2024,2024-02-29,60
35.8,2024,2024-04-29,120
35.9,2024,2024-04-29,120
36.1,2024,2024-05-23,144
36.5,2024,2024-04-05,96
36.6,2024,2024-04-29,120
36.7,2024,2024-04-29,120
36.8,2024,2024-02-29,60
36.9,2024,2024-02-29,60
37.0,2024,2024-04-05,96
37.1,2024,2024-04-05,96
37.2,2024,2024-04-29,120
37.3,2024,2024-04-29,120
37.4,2024,2024-04-29,120
37.6,2024,2024-04-29,120
37.7,2024,2024-04-17,108
37.8,2024,2024-04-17,108
37.9,2024,2024-04-17,108
38.0,2024,2024-03-24,84
38.1,2024,2024-03-24,84
38.2,2024,2024-03-12,72
38.3,2024,2024-02-29,60
38.4,2024,2024-02-29,60
38.5,2024,2024-02-29,60
