distance_km,year,onset_date,onset_doy
2.3,2018,2018-03-08,67
2.4,2018,2018-03-08,67
2.6,2018,2018-03-08,67
3.2,2018,2018-03-08,67
3.3,2018,2018-03-08,67
3.4,2018,2018-05-19,139
4.2,2018,2018-05-07,127
4.3,2018,2018-05-07,127
4.7,2018,2018-04-13,103
4.8,2018,2018-04-13,103
4.9,2018,2018-04-13,103
5.0,2018,2018-04-13,103
5.1,2018,2018-04-13,103
5.2,2018,2018-04-13,103
5.3,2018,2018-03-08,67
5.6,2018,2018-03-08,67
5.7,2018,2018-05-31,151
5.8,2018,2018-05-31,151
6.5,2018,2018-03-08,67
6.6,2018,2018-03-08,67
6.8,2018,2018-05-07,127
7.3,2018,2018-04-13,103
7.4,2018,2018-04-13,103
8.0,2018,2018-05-07,127
11.0,2018,2018-03-08,67
11.1,2018,2018-03-08,67
11.2,2018,2018-03-08,67
13.4,2018,2018-03-08,67
13.6,2018,2018-05-31,151
13.7,2018,2018-05-31,151
13.8,2018,2018-05-31,151
14.8,2018,2018-03-08,67
0.0,2019,2019-05-26,146
0.1,2019,2019-03-03,62
0.2,2019,2019-03-03,62
1.2,2019,2019-03-03,62
1.3,2019,2019-03-03,62
1.5,2019,2019-04-08,98
2.2,2019,2019-03-15,74
2.5,2019,2019-03-03,62
2.6,2019,2019-04-08,98
2.7,2019,2019-04-08,98
2.8,2019,2019-04-08,98
2.9,2019,2019-03-27,86
3.0,2019,2019-03-15,74
3.1,2019,2019-03-15,74
3.2,2019,2019-04-08,98
3.3,2019,2019-03-15,74
3.4,2019,2019-04-08,98
3.5,2019,2019-04-08,98
3.6,2019,2019-03-15,74
3.7,2019,2019-03-15,74
3.8,2019,2019-03-15,74
3.9,2019,2019-04-08,98
4.7,2019,2019-03-15,74
4.8,2019,2019-03-15,74
4.9,2019,2019-03-15,74
5.7,2019,2019-05-02,122
5.8,2019,2019-05-02,122
5.9,2019,2019-03-03,62
6.0,2019,2019-03-03,62
6.1,2019,2019-03-15,74
6.4,2019,2019-03-27,86
7.1,2019,2019-03-27,86
7.2,2019,2019-03-27,86
7.4,2019,2019-05-02,122
7.5,2019,2019-03-27,86
7.6,2019,2019-03-15,74
8.0,2019,2019-04-08,98
8.1,2019,2019-03-03,62
8.3,2019,2019-03-03,62
8.4,2019,2019-03-03,62
8.6,2019,2019-03-03,62
8.7,2019,2019-03-03,62
8.8,2019,2019-03-03,62
9.0,2019,2019-03-03,62
9.1,2019,2019-03-03,62
10.1,2019,2019-04-20,110
10.4,2019,2019-03-03,62
10.5,2019,2019-03-03,62
10.6,2019,2019-03-03,62
10.7,2019,2019-03-03,62
10.8,2019,2019-03-27,86
10.9,2019,2019-03-27,86
11.0,2019,2019-03-27,86
11.3,2019,2019-05-02,122
11.4,2019,2019-05-02,122
11.5,2019,2019-04-20,110
11.6,2019,2019-05-26,146
12.0,2019,2019-03-03,62
12.1,2019,2019-03-03,62
12.2,2019,2019-03-03,62
13.1,2019,2019-04-08,98
13.3,2019,2019-04-08,98
13.4,2019,2019-03-27,86
13.6,2019,2019-03-03,62
14.5,2019,2019-03-15,74
14.6,2019,2019-03-15,74
14.7,2019,2019-03-15,74
14.8,2019,2019-03-15,74
14.9,2019,2019-03-15,74
0.3,2020,2020-04-02,93
0.7,2020,2020-04-14,105
0.8,2020,2020-03-09,69
0.9,2020,2020-03-09,69
1.0,2020,2020-03-09,69
1.1,2020,2020-03-09,69
1.4,2020,2020-03-09,69
2.8,2020,2020-03-21,81
2.9,2020,2020-03-21,81
3.0,2020,2020-03-21,81
3.1,2020,2020-03-09,69
3.2,2020,2020-04-26,117
3.3,2020,2020-04-26,117
3.4,2020,2020-04-14,105
3.5,2020,2020-04-14,105
4.2,2020,2020-04-14,105
4.3,2020,2020-04-14,105
4.4,2020,2020-04-14,105
4.5,2020,2020-04-14,105
4.6,2020,2020-04-14,105
4.7,2020,2020-04-14,105
4.8,2020,2020-05-20,141
4.9,2020,2020-04-02,93
5.0,2020,2020-04-02,93
5.1,2020,2020-06-13,165
5.2,2020,2020-06-13,165
5.3,2020,2020-06-13,165
5.4,2020,2020-06-13,165
5.5,2020,2020-06-13,165
5.7,2020,2020-03-09,69
5.8,2020,2020-06-13,165
6.2,2020,2020-06-13,165
6.4,2020,2020-03-21,81
6.5,2020,2020-03-09,69
6.6,2020,2020-03-21,81
6.7,2020,2020-03-09,69
6.8,2020,2020-03-09,69
6.9,2020,2020-05-20,141
7.2,2020,2020-03-21,81
7.8,2020,2020-05-20,141
8.0,2020,2020-03-09,69
8.2,2020,2020-04-02,93
8.3,2020,2020-04-14,105
8.4,2020,2020-05-20,141
8.5,2020,2020-05-20,141
8.6,2020,2020-03-09,69
8.7,2020,2020-03-09,69
8.8,2020,2020-03-09,69
8.9,2020,2020-05-20,141
9.0,2020,2020-05-20,141
9.1,2020,2020-03-09,69
9.2,2020,2020-03-09,69
9.3,2020,2020-05-20,141
9.4,2020,2020-05-20,141
9.5,2020,2020-03-09,69
9.6,2020,2020-03-09,69
9.7,2020,2020-03-09,69
9.8,2020,2020-04-14,105
9.9,2020,2020-04-14,105
10.5,2020,2020-03-21,81
10.6,2020,2020-03-09,69
10.7,2020,2020-03-09,69
10.8,2020,2020-03-09,69
10.9,2020,2020-03-09,69
11.0,2020,2020-03-09,69
11.1,2020,2020-03-09,69
11.2,2020,2020-03-09,69
11.3,2020,2020-05-20,141
11.4,2020,2020-06-13,165
11.5,2020,2020-06-13,165
11.6,2020,2020-04-26,117
11.7,2020,2020-04-26,117
11.8,2020,2020-04-26,117
12.0,2020,2020-04-02,93
12.1,2020,2020-04-02,93
12.2,2020,2020-03-09,69
12.3,2020,2020-03-09,69
12.4,2020,2020-03-09,69
12.5,2020,2020-04-02,93
13.0,2020,2020-04-14,105
14.1,2020,2020-06-13,165
14.5,2020,2020-05-08,129
14.9,2020,2020-04-26,117
15.0,2020,2020-04-02,93
15.1,2020,2020-04-02,93
0.0,2021,2021-03-04,63
0.1,2021,2021-03-28,87
2.0,2021,2021-04-09,99
2.1,2021,2021-03-16,75
2.4,2021,2021-04-09,99
2.5,2021,2021-03-04,63
2.6,2021,2021-05-15,135
2.8,2021,2021-03-28,87
2.9,2021,2021-03-28,87
3.1,2021,2021-04-09,99
3.2,2021,2021-03-28,87
3.3,2021,2021-03-28,87
3.4,2021,2021-03-28,87
3.8,2021,2021-03-28,87
3.9,2021,2021-03-16,75
4.0,2021,2021-06-08,159
4.1,2021,2021-06-08,159
4.2,2021,2021-03-16,75
4.3,2021,2021-03-16,75
4.4,2021,2021-03-16,75
4.5,2021,2021-03-16,75
4.6,2021,2021-03-16,75
4.7,2021,2021-03-04,63
4.8,2021,2021-03-28,87
4.9,2021,2021-03-28,87
5.0,2021,2021-03-28,87
5.1,2021,2021-03-04,63
5.2,2021,2021-03-04,63
5.3,2021,2021-03-16,75
5.4,2021,2021-06-08,159
5.5,2021,2021-05-27,147
5.6,2021,2021-05-27,147
5.7,2021,2021-03-04,63
5.8,2021,2021-03-16,75
5.9,2021,2021-03-16,75
6.0,2021,2021-03-16,75
6.1,2021,2021-03-16,75
6.3,2021,2021-05-15,135
6.4,2021,2021-03-28,87
6.6,2021,2021-03-16,75
6.7,2021,2021-03-04,63
6.8,2021,2021-03-04,63
6.9,2021,2021-03-04,63
7.0,2021,2021-03-28,87
7.1,2021,2021-04-09,99
7.2,2021,2021-03-28,87
7.3,2021,2021-03-04,63
7.4,2021,2021-03-04,63
7.5,2021,2021-03-28,87
7.8,2021,2021-04-09,99
7.9,2021,2021-04-09,99
8.0,2021,2021-04-09,99
8.1,2021,2021-05-15,135
8.3,2021,2021-05-15,135
8.4,2021,2021-05-15,135
8.5,2021,2021-04-09,99
8.6,2021,2021-03-28,87
8.7,2021,2021-03-28,87
8.8,2021,2021-03-28,87
9.0,2021,2021-03-28,87
9.1,2021,2021-03-28,87
9.2,2021,2021-03-28,87
9.3,2021,2021-03-28,87
9.4,2021,2021-03-28,87
9.5,2021,2021-03-28,87
9.6,2021,2021-03-28,87
9.7,2021,2021-03-28,87
9.9,2021,2021-03-28,87
10.0,2021,2021-03-16,75
10.1,2021,2021-03-16,75
10.2,2021,2021-03-16,75
10.3,2021,2021-03-16,75
10.4,2021,2021-03-16,75
11.0,2021,2021-03-28,87
12.3,2021,2021-04-09,99
12.4,2021,2021-04-09,99
12.5,2021,2021-03-16,75
12.8,2021,2021-03-04,63
13.0,2021,2021-03-28,87
13.2,2021,2021-03-04,63
13.3,2021,2021-05-03,123
13.4,2021,2021-05-03,123
13.9,2021,2021-03-04,63
14.4,2021,2021-03-16,75
14.5,2021,2021-03-16,75
14.6,2021,2021-03-16,75
14.7,2021,2021-04-09,99
14.8,2021,2021-05-15,135
14.9,2021,2021-05-15,135
15.12,2021,2021-03-28,87
0.0,2022,2022-03-23,82
0.1,2022,2022-03-11,70
0.2,2022,2022-03-11,70
0.8,2022,2022-03-11,70
0.9,2022,2022-03-11,70
1.3,2022,2022-03-11,70
2.1,2022,2022-03-11,70
2.2,2022,2022-03-11,70
2.3,2022,2022-03-11,70
2.6,2022,2022-03-11,70
3.2,2022,2022-06-03,154
3.4,2022,2022-03-23,82
3.5,2022,2022-03-23,82
3.6,2022,2022-05-10,130
3.7,2022,2022-03-11,70
3.8,2022,2022-05-22,142
3.9,2022,2022-03-11,70
4.0,2022,2022-03-11,70
4.1,2022,2022-03-11,70
4.2,2022,2022-04-16,106
4.3,2022,2022-03-11,70
4.4,2022,2022-03-11,70
4.5,2022,2022-04-28,118
4.6,2022,2022-04-28,118
4.7,2022,2022-04-04,94
4.8,2022,2022-03-11,70
4.9,2022,2022-04-04,94
5.0,2022,2022-05-22,142
5.1,2022,2022-05-10,130
5.2,2022,2022-04-16,106
5.3,2022,2022-04-28,118
5.4,2022,2022-03-11,70
5.5,2022,2022-03-11,70
5.7,2022,2022-03-11,70
5.8,2022,2022-03-11,70
5.9,2022,2022-03-11,70
6.0,2022,2022-03-11,70
6.1,2022,2022-03-11,70
6.2,2022,2022-03-11,70
6.3,2022,2022-03-11,70
6.4,2022,2022-03-11,70
7.1,2022,2022-04-28,118
7.2,2022,2022-03-11,70
7.3,2022,2022-04-16,106
7.4,2022,2022-04-16,106
7.5,2022,2022-04-16,106
7.6,2022,2022-03-11,70
7.7,2022,2022-03-23,82
7.8,2022,2022-03-11,70
7.9,2022,2022-04-16,106
8.0,2022,2022-04-16,106
8.1,2022,2022-03-11,70
8.2,2022,2022-03-11,70
8.3,2022,2022-03-11,70
8.4,2022,2022-05-22,142
8.5,2022,2022-05-10,130
8.6,2022,2022-05-10,130
8.7,2022,2022-05-10,130
8.8,2022,2022-05-10,130
8.9,2022,2022-05-10,130
9.0,2022,2022-05-10,130
9.1,2022,2022-05-10,130
9.2,2022,2022-05-22,142
9.3,2022,2022-03-23,82
9.4,2022,2022-03-23,82
9.5,2022,2022-03-11,70
9.6,2022,2022-03-11,70
9.7,2022,2022-03-11,70
9.8,2022,2022-05-10,130
9.9,2022,2022-04-04,94
10.0,2022,2022-04-04,94
10.1,2022,2022-04-16,106
10.2,2022,2022-04-16,106
10.3,2022,2022-04-16,106
10.4,2022,2022-03-11,70
10.5,2022,2022-04-16,106
10.8,2022,2022-03-11,70
10.9,2022,2022-03-11,70
11.0,2022,2022-03-11,70
11.3,2022,2022-03-11,70
11.4,2022,2022-03-11,70
11.5,2022,2022-03-11,70
11.6,2022,2022-03-11,70
11.7,2022,2022-03-11,70
11.8,2022,2022-03-11,70
11.9,2022,2022-03-23,82
12.0,2022,2022-03-23,82
12.1,2022,2022-03-23,82
13.2,2022,2022-03-11,70
13.3,2022,2022-03-11,70
13.4,2022,2022-03-11,70
13.5,2022,2022-03-11,70
13.6,2022,2022-03-11,70
13.7,2022,2022-03-11,70
13.8,2022,2022-04-28,118
13.9,2022,2022-06-15,166
14.2,2022,2022-03-11,70
14.3,2022,2022-03-11,70
14.5,2022,2022-06-03,154
2.3,2023,2023-05-29,149
2.4,2023,2023-03-30,89
2.5,2023,2023-03-30,89
2.6,2023,2023-03-30,89
2.7,2023,2023-03-30,89
2.8,2023,2023-03-30,89
2.9,2023,2023-03-30,89
3.0,2023,2023-03-30,89
3.1,2023,2023-05-29,149
3.2,2023,2023-05-29,149
3.3,2023,2023-05-29,149
3.4,2023,2023-05-17,137
3.5,2023,2023-03-30,89
3.6,2023,2023-03-30,89
3.7,2023,2023-03-30,89
3.8,2023,2023-03-30,89
4.2,2023,2023-05-29,149
4.4,2023,2023-05-29,149
4.8,2023,2023-05-05,125
4.9,2023,2023-05-05,125
5.0,2023,2023-05-05,125
5.1,2023,2023-05-05,125
5.2,2023,2023-05-05,125
5.3,2023,2023-03-30,89
5.4,2023,2023-03-30,89
5.5,2023,2023-03-30,89
5.6,2023,2023-03-18,77
5.7,2023,2023-03-18,77
5.8,2023,2023-03-06,65
5.9,2023,2023-03-30,89
6.0,2023,2023-03-30,89
6.3,2023,2023-05-29,149
6.4,2023,2023-05-29,149
6.5,2023,2023-05-29,149
6.6,2023,2023-05-29,149
6.7,2023,2023-05-29,149
7.9,2023,2023-05-29,149
8.5,2023,2023-03-06,65
8.7,2023,2023-03-06,65
8.9,2023,2023-06-10,161
9.2,2023,2023-03-30,89
9.3,2023,2023-03-30,89
9.4,2023,2023-05-05,125
9.8,2023,2023-03-30,89
9.9,2023,2023-05-05,125
10.0,2023,2023-04-11,101
10.1,2023,2023-04-11,101
10.2,2023,2023-04-11,101
10.3,2023,2023-04-11,101
11.5,2023,2023-05-29,149
12.8,2023,2023-03-06,65
12.9,2023,2023-03-06,65
14.8,2023,2023-03-06,65
0.0,2024,2024-03-12,72
0.1,2024,2024-04-05,96
1.2,2024,2024-04-29,120
1.4,2024,2024-03-24,84
1.5,2024,2024-03-24,84
1.6,2024,2024-03-12,72
1.8,2024,2024-03-12,72
1.9,2024,2024-03-12,72
2.0,2024,2024-02-29,60
2.1,2024,2024-02-29,60
2.2,2024,2024-03-12,72
2.3,2024,2024-02-29,60
2.4,2024,2024-02-29,60
2.5,2024,2024-02-29,60
2.6,2024,2024-03-12,72
2.7,2024,2024-03-12,72
2.8,2024,2024-03-12,72
2.9,2024,2024-03-12,72
3.0,2024,2024-02-29,60
3.1,2024,2024-02-29,60
3.2,2024,2024-02-29,60
3.3,2024,2024-02-29,60
3.6,2024,2024-05-23,144
3.8,2024,2024-02-29,60
3.9,2024,2024-02-29,60
4.2,2024,2024-02-29,60
4.3,2024,2024-02-29,60
4.4,2024,2024-03-24,84
4.5,2024,2024-03-24,84
