distance_km,year,onset_date,onset_doy
23.2,2018,2018-04-13,103
23.3,2018,2018-04-13,103
23.4,2018,2018-04-13,103
23.5,2018,2018-03-08,67
23.6,2018,2018-03-08,67
23.7,2018,2018-03-08,67
23.8,2018,2018-03-08,67
23.9,2018,2018-03-08,67
24.0,2018,2018-04-13,103
24.1,2018,2018-04-13,103
24.2,2018,2018-03-20,79
24.3,2018,2018-05-07,127
24.4,2018,2018-05-07,127
24.5,2018,2018-05-19,139
24.6,2018,2018-05-07,127
24.7,2018,2018-05-07,127
24.8,2018,2018-05-19,139
24.9,2018,2018-03-20,79
25.0,2018,2018-03-08,67
25.1,2018,2018-05-19,139
25.2,2018,2018-03-20,79
25.3,2018,2018-03-20,79
25.4,2018,2018-03-20,79
25.5,2018,2018-03-20,79
25.6,2018,2018-03-08,67
25.7,2018,2018-03-08,67
25.8,2018,2018-03-08,67
26.1,2018,2018-03-08,67
26.19,2018,2018-03-08,67
23.3,2019,2019-04-08,98
23.4,2019,2019-03-15,74
23.5,2019,2019-03-15,74
23.6,2019,2019-03-15,74
23.7,2019,2019-03-15,74
23.8,2019,2019-03-15,74
23.9,2019,2019-03-15,74
24.0,2019,2019-03-15,74
24.1,2019,2019-03-15,74
24.2,2019,2019-05-02,122
24.3,2019,2019-04-20,110
24.4,2019,2019-04-08,98
24.5,2019,2019-04-08,98
24.6,2019,2019-04-08,98
24.7,2019,2019-04-08,98
24.8,2019,2019-04-08,98
24.9,2019,2019-04-20,110
25.0,2019,2019-04-20,110
25.1,2019,2019-04-20,110
25.2,2019,2019-04-08,98
25.3,2019,2019-04-08,98
25.4,2019,2019-03-27,86
25.5,2019,2019-05-26,146
25.6,2019,2019-04-08,98
23.2,2020,2020-06-01,153
23.3,2020,2020-04-14,105
23.4,2020,2020-03-09,69
23.5,2020,2020-04-26,117
23.6,2020,2020-06-01,153
23.8,2020,2020-05-08,129
23.9,2020,2020-04-26,117
24.0,2020,2020-03-21,81
24.1,2020,2020-03-21,81
24.2,2020,2020-03-21,81
24.3,2020,2020-03-21,81
24.4,2020,2020-03-21,81
24.5,2020,2020-03-09,69
24.6,2020,2020-03-09,69
24.7,2020,2020-03-09,69
24.8,2020,2020-03-09,69
24.9,2020,2020-03-09,69
25.0,2020,2020-04-26,117
25.1,2020,2020-04-14,105
25.2,2020,2020-04-14,105
25.3,2020,2020-04-14,105
25.4,2020,2020-04-14,105
25.5,2020,2020-04-02,93
25.8,2020,2020-06-01,153
26.0,2020,2020-04-02,93
26.1,2020,2020-04-14,105
26.19,2020,2020-04-14,105
23.2,2021,2021-04-09,99
23.3,2021,2021-04-09,99
23.4,2021,2021-03-04,63
23.5,2021,2021-03-04,63
23.6,2021,2021-03-04,63
23.7,2021,2021-03-28,87
23.8,2021,2021-04-09,99
23.9,2021,2021-04-09,99
24.0,2021,2021-04-09,99
24.1,2021,2021-04-09,99
24.2,2021,2021-04-09,99
24.3,2021,2021-04-09,99
24.4,2021,2021-04-09,99
24.5,2021,2021-06-08,159
24.6,2021,2021-06-08,159
24.7,2021,2021-03-28,87
24.8,2021,2021-04-09,99
24.9,2021,2021-04-09,99
25.0,2021,2021-04-09,99
25.1,2021,2021-04-09,99
25.2,2021,2021-04-09,99
25.3,2021,2021-04-09,99
25.4,2021,2021-03-16,75
25.5,2021,2021-03-16,75
25.6,2021,2021-04-09,99
25.7,2021,2021-04-09,99
25.9,2021,2021-03-04,63
26.0,2021,2021-03-04,63
26.1,2021,2021-03-04,63
26.19,2021,2021-03-04,63
23.4,2022,2022-03-11,70
23.5,2022,2022-03-11,70
23.6,2022,2022-03-11,70
23.7,2022,2022-06-03,154
24.3,2022,2022-04-04,94
24.4,2022,2022-04-04,94
24.5,2022,2022-04-04,94
24.6,2022,2022-04-04,94
24.7,2022,2022-04-04,94
24.8,2022,2022-03-23,82
24.9,2022,2022-03-23,82
25.0,2022,2022-03-11,70
25.1,2022,2022-03-11,70
25.2,2022,2022-03-23,82
25.3,2022,2022-03-23,82
25.4,2022,2022-03-11,70
25.5,2022,2022-03-11,70
25.6,2022,2022-03-11,70
25.7,2022,2022-03-11,70
25.8,2022,2022-03-23,82
25.9,2022,2022-04-16,106
26.0,2022,2022-04-16,106
26.1,2022,2022-04-16,106
23.2,2023,2023-03-30,89
23.3,2023,2023-03-30,89
23.4,2023,2023-03-30,89
23.5,2023,2023-03-30,89
23.6,2023,2023-03-30,89
23.7,2023,2023-05-17,137
23.8,2023,2023-06-10,161
23.9,2023,2023-04-11,101
24.0,2023,2023-04-11,101
24.1,2023,2023-05-29,149
24.3,2023,2023-04-11,101
24.4,2023,2023-04-11,101
24.5,2023,2023-04-11,101
24.6,2023,2023-04-11,101
24.7,2023,2023-05-29,149
24.8,2023,2023-06-10,161
24.9,2023,2023-06-10,161
25.6,2023,2023-06-10,161
21.9,2024,2024-03-24,84
23.0,2024,2024-03-24,84
23.2,2024,2024-02-29,60
23.3,2024,2024-03-12,72
23.4,2024,2024-02-29,60
23.5,2024,2024-03-12,72
23.6,2024,2024-03-12,72
23.7,2024,2024-03-12,72
23.8,2024,2024-02-29,60
23.9,2024,2024-03-12,72
24.0,2024,2024-03-12,72
24.1,2024,2024-04-17,108
24.6,2024,2024-04-17,108
24.8,2024,2024-05-23,144
24.9,2024,2024-05-23,144
25.8,2024,2024-05-11,132
25.9,2024,2024-05-11,132
26.0,2024,2024-05-11,132
