distance_km,year,onset_date,onset_doy
0.0,2018,2018-03-08,67
0.1,2018,2018-03-08,67
0.2,2018,2018-03-08,67
0.3,2018,2018-03-08,67
0.4,2018,2018-03-08,67
0.5,2018,2018-03-08,67
0.6,2018,2018-03-08,67
0.7,2018,2018-03-08,67
0.8,2018,2018-05-31,151
0.9,2018,2018-03-08,67
1.1,2018,2018-04-13,103
1.2,2018,2018-04-13,103
1.3,2018,2018-03-20,79
3.4,2018,2018-05-19,139
3.5,2018,2018-05-19,139
3.6,2018,2018-03-08,67
3.7,2018,2018-03-20,79
4.2,2018,2018-03-08,67
4.3,2018,2018-03-08,67
4.4,2018,2018-03-08,67
4.5,2018,2018-04-13,103
6.4,2018,2018-05-19,139
6.7,2018,2018-05-07,127
6.8,2018,2018-04-13,103
7.2,2018,2018-04-13,103
7.4,2018,2018-04-13,103
7.5,2018,2018-04-13,103
7.6,2018,2018-05-19,139
7.8,2018,2018-05-07,127
7.9,2018,2018-03-20,79
8.0,2018,2018-05-07,127
9.7,2018,2018-03-08,67
9.8,2018,2018-03-08,67
9.9,2018,2018-03-08,67
10.0,2018,2018-03-08,67
10.1,2018,2018-03-08,67
10.2,2018,2018-03-20,79
10.3,2018,2018-03-08,67
10.4,2018,2018-03-20,79
10.6,2018,2018-03-08,67
10.7,2018,2018-03-08,67
11.4,2018,2018-03-20,79
11.5,2018,2018-03-20,79
11.6,2018,2018-03-08,67
11.7,2018,2018-03-08,67
13.1,2018,2018-03-08,67
13.2,2018,2018-03-08,67
13.3,2018,2018-03-20,79
13.4,2018,2018-03-20,79
13.6,2018,2018-05-07,127
13.7,2018,2018-05-19,139
14.0,2018,2018-03-08,67
14.6,2018,2018-03-08,67
15.7,2018,2018-03-20,79
15.8,2018,2018-05-07,127
15.9,2018,2018-03-20,79
16.0,2018,2018-05-19,139
16.1,2018,2018-05-19,139
16.2,2018,2018-05-07,127
16.3,2018,2018-05-07,127
16.6,2018,2018-05-07,127
16.7,2018,2018-03-08,67
16.8,2018,2018-03-08,67
17.1,2018,2018-05-19,139
17.2,2018,2018-05-19,139
17.3,2018,2018-05-19,139
17.4,2018,2018-05-07,127
17.5,2018,2018-03-08,67
17.55,2018,2018-03-08,67
1.1,2019,2019-04-08,98
1.2,2019,2019-04-08,98
1.3,2019,2019-04-08,98
2.1,2019,2019-03-03,62
2.2,2019,2019-03-03,62
2.3,2019,2019-03-03,62
2.4,2019,2019-03-03,62
2.5,2019,2019-03-15,74
3.6,2019,2019-03-15,74
4.0,2019,2019-04-20,110
4.1,2019,2019-04-20,110
5.1,2019,2019-05-26,146
5.3,2019,2019-03-27,86
5.4,2019,2019-03-27,86
5.5,2019,2019-05-02,122
5.6,2019,2019-03-15,74
5.7,2019,2019-03-15,74
5.8,2019,2019-03-15,74
5.9,2019,2019-03-15,74
6.0,2019,2019-03-15,74
