distance_km,year,onset_date,onset_doy
0.0,2018,2018-03-20,79
0.1,2018,2018-05-07,127
0.2,2018,2018-05-07,127
0.3,2018,2018-03-08,67
0.4,2018,2018-03-08,67
0.5,2018,2018-03-08,67
0.6,2018,2018-03-08,67
0.7,2018,2018-03-08,67
0.9,2018,2018-03-08,67
1.0,2018,2018-03-08,67
1.1,2018,2018-03-08,67
1.2,2018,2018-03-08,67
1.3,2018,2018-03-08,67
1.4,2018,2018-03-08,67
1.5,2018,2018-05-07,127
1.6,2018,2018-03-08,67
1.7,2018,2018-03-08,67
1.8,2018,2018-03-08,67
1.9,2018,2018-03-08,67
2.2,2018,2018-05-07,127
2.3,2018,2018-05-07,127
2.4,2018,2018-05-31,151
2.5,2018,2018-03-08,67
2.6,2018,2018-04-13,103
2.7,2018,2018-04-13,103
2.8,2018,2018-04-13,103
2.9,2018,2018-05-19,139
3.0,2018,2018-04-13,103
3.1,2018,2018-03-08,67
3.2,2018,2018-03-08,67
3.3,2018,2018-03-08,67
3.5,2018,2018-03-08,67
3.6,2018,2018-03-08,67
3.7,2018,2018-03-08,67
3.8,2018,2018-03-08,67
3.9,2018,2018-03-08,67
4.1,2018,2018-03-08,67
4.2,2018,2018-03-08,67
4.3,2018,2018-03-08,67
4.6,2018,2018-05-31,151
4.8,2018,2018-05-19,139
4.9,2018,2018-05-19,139
5.0,2018,2018-04-13,103
5.1,2018,2018-03-08,67
5.2,2018,2018-04-13,103
5.3,2018,2018-04-13,103
5.4,2018,2018-04-13,103
5.5,2018,2018-05-31,151
5.6,2018,2018-05-19,139
5.7,2018,2018-05-19,139
5.8,2018,2018-05-31,151
5.9,2018,2018-05-19,139
6.0,2018,2018-05-07,127
6.7,2018,2018-05-19,139
6.8,2018,2018-05-19,139
6.9,2018,2018-03-08,67
7.0,2018,2018-03-08,67
7.2,2018,2018-05-07,127
7.5,2018,2018-03-08,67
7.6,2018,2018-05-07,127
7.7,2018,2018-05-07,127
7.8,2018,2018-03-08,67
7.9,2018,2018-04-13,103
8.0,2018,2018-05-31,151
8.2,2018,2018-03-08,67
8.6,2018,2018-04-13,103
9.7,2018,2018-05-19,139
9.8,2018,2018-04-13,103
9.9,2018,2018-03-08,67
10.1,2018,2018-05-31,151
10.2,2018,2018-05-31,151
10.5,2018,2018-05-31,151
10.6,2018,2018-05-19,139
10.9,2018,2018-05-19,139
13.7,2018,2018-03-20,79
13.8,2018,2018-03-20,79
14.0,2018,2018-05-31,151
14.1,2018,2018-05-31,151
14.2,2018,2018-04-13,103
14.3,2018,2018-03-20,79
14.4,2018,2018-03-08,67
14.5,2018,2018-03-08,67
14.7,2018,2018-05-07,127
14.8,2018,2018-04-13,103
15.0,2018,2018-03-08,67
15.1,2018,2018-03-08,67
15.2,2018,2018-05-19,139
15.5,2018,2018-05-31,151
15.8,2018,2018-04-13,103
1.6,2019,2019-03-03,62
1.7,2019,2019-03-03,62
2.0,2019,2019-03-03,62
2.1,2019,2019-03-15,74
