distance_km,year,onset_date,onset_doy
0.1,2018,2018-03-08,67
0.2,2018,2018-03-08,67
0.4,2018,2018-03-20,79
0.5,2018,2018-03-08,67
0.6,2018,2018-03-08,67
0.7,2018,2018-05-07,127
0.8,2018,2018-05-07,127
0.9,2018,2018-05-07,127
1.1,2018,2018-03-08,67
1.2,2018,2018-05-31,151
1.3,2018,2018-03-08,67
1.4,2018,2018-03-08,67
1.5,2018,2018-03-08,67
1.6,2018,2018-03-08,67
1.7,2018,2018-03-08,67
1.8,2018,2018-03-20,79
1.9,2018,2018-03-08,67
2.1,2018,2018-03-08,67
2.2,2018,2018-03-08,67
2.3,2018,2018-03-08,67
2.4,2018,2018-03-08,67
2.5,2018,2018-03-20,79
2.7,2018,2018-05-19,139
2.8,2018,2018-05-19,139
2.9,2018,2018-03-20,79
3.7,2018,2018-05-19,139
3.8,2018,2018-05-19,139
3.9,2018,2018-05-19,139
4.9,2018,2018-05-19,139
5.0,2018,2018-05-19,139
5.8,2018,2018-03-08,67
5.9,2018,2018-05-07,127
6.0,2018,2018-05-07,127
13.0,2018,2018-03-20,79
13.9,2018,2018-03-20,79
15.1,2018,2018-05-19,139
15.8,2018,2018-05-07,127
15.9,2018,2018-05-07,127
16.0,2018,2018-03-20,79
16.1,2018,2018-03-20,79
16.2,2018,2018-03-08,67
16.3,2018,2018-03-08,67
16.8,2018,2018-03-20,79
17.2,2018,2018-05-07,127
17.4,2018,2018-03-20,79
17.5,2018,2018-03-08,67
17.6,2018,2018-03-08,67
17.7,2018,2018-03-08,67
17.8,2018,2018-04-13,103
17.9,2018,2018-04-13,103
18.0,2018,2018-05-31,151
18.1,2018,2018-05-31,151
18.3,2018,2018-05-31,151
18.7,2018,2018-05-07,127
18.8,2018,2018-05-07,127
19.4,2018,2018-05-19,139
19.5,2018,2018-05-19,139
19.54,2018,2018-05-19,139
0.0,2019,2019-03-03,62
0.1,2019,2019-03-03,62
0.2,2019,2019-03-27,86
0.3,2019,2019-05-14,134
0.4,2019,2019-05-26,146
0.6,2019,2019-03-27,86
0.7,2019,2019-05-26,146
1.2,2019,2019-03-03,62
1.4,2019,2019-04-08,98
1.5,2019,2019-05-02,122
1.6,2019,2019-03-03,62
1.7,2019,2019-05-14,134
1.8,2019,2019-03-15,74
1.9,2019,2019-04-08,98
2.0,2019,2019-03-27,86
2.1,2019,2019-03-27,86
2.2,2019,2019-03-03,62
2.4,2019,2019-03-27,86
2.5,2019,2019-06-07,158
2.6,2019,2019-03-03,62
2.7,2019,2019-05-02,122
2.8,2019,2019-05-26,146
3.4,2019,2019-03-03,62
3.5,2019,2019-03-03,62
3.6,2019,2019-04-08,98
3.8,2019,2019-05-02,122
3.9,2019,2019-05-02,122
4.6,2019,2019-04-08,98
4.8,2019,2019-03-15,74
