distance_km,year,onset_date,onset_doy
1.1,2017,2017-05-12,132
1.5,2017,2017-03-01,60
1.6,2017,2017-04-06,96
1.7,2017,2017-04-06,96
1.8,2017,2017-04-06,96
1.9,2017,2017-04-06,96
2.0,2017,2017-04-06,96
2.4,2017,2017-03-13,72
2.5,2017,2017-03-13,72
2.6,2017,2017-03-01,60
2.7,2017,2017-03-13,72
2.9,2017,2017-03-25,84
3.0,2017,2017-03-13,72
3.1,2017,2017-03-13,72
3.2,2017,2017-04-18,108
3.8,2017,2017-03-13,72
5.9,2017,2017-04-06,96
6.0,2017,2017-04-18,108
8.8,2017,2017-06-05,156
9.6,2017,2017-03-25,84
9.7,2017,2017-03-25,84
9.8,2017,2017-03-25,84
14.2,2017,2017-04-18,108
20.4,2017,2017-03-01,60
22.1,2017,2017-06-05,156
22.2,2017,2017-04-06,96
0.8,2018,2018-04-13,103
0.9,2018,2018-04-13,103
1.0,2018,2018-04-01,91
1.1,2018,2018-05-31,151
1.3,2018,2018-05-31,151
1.4,2018,2018-03-08,67
1.5,2018,2018-04-01,91
1.6,2018,2018-04-01,91
1.7,2018,2018-04-01,91
1.8,2018,2018-04-01,91
1.9,2018,2018-03-20,79
2.0,2018,2018-03-20,79
2.1,2018,2018-03-20,79
2.2,2018,2018-04-25,115
2.3,2018,2018-04-25,115
2.4,2018,2018-04-25,115
2.5,2018,2018-04-25,115
2.6,2018,2018-05-07,127
2.7,2018,2018-03-08,67
2.8,2018,2018-03-08,67
2.9,2018,2018-03-08,67
3.0,2018,2018-03-08,67
3.1,2018,2018-03-08,67
3.2,2018,2018-05-07,127
3.3,2018,2018-05-07,127
3.4,2018,2018-05-07,127
3.5,2018,2018-04-25,115
3.6,2018,2018-04-25,115
3.7,2018,2018-04-25,115
3.8,2018,2018-04-25,115
3.9,2018,2018-04-25,115
4.0,2018,2018-04-25,115
4.1,2018,2018-04-25,115
5.6,2018,2018-03-08,67
5.7,2018,2018-03-08,67
5.8,2018,2018-03-08,67
6.4,2018,2018-03-08,67
6.5,2018,2018-03-08,67
6.6,2018,2018-03-08,67
6.7,2018,2018-03-20,79
7.4,2018,2018-05-07,127
7.5,2018,2018-03-08,67
7.6,2018,2018-03-08,67
7.7,2018,2018-03-08,67
7.8,2018,2018-04-13,103
7.9,2018,2018-04-13,103
8.0,2018,2018-03-08,67
8.1,2018,2018-03-08,67
8.3,2018,2018-03-08,67
10.7,2018,2018-05-19,139
10.8,2018,2018-05-19,139
10.9,2018,2018-05-19,139
11.5,2018,2018-05-07,127
12.5,2018,2018-05-07,127
12.6,2018,2018-05-07,127
12.7,2018,2018-05-07,127
12.8,2018,2018-05-07,127
12.9,2018,2018-05-07,127
13.0,2018,2018-05-07,127
13.1,2018,2018-05-07,127
13.2,2018,2018-05-07,127
13.3,2018,2018-05-07,127
13.6,2018,2018-04-01,91
13.7,2018,2018-04-01,91
13.8,2018,2018-03-20,79
13.9,2018,2018-04-01,91
14.0,2018,2018-03-20,79
14.1,2018,2018-03-20,79
14.2,2018,2018-04-01,91
14.3,2018,2018-04-13,103
14.4,2018,2018-05-07,127
14.5,2018,2018-05-19,139
14.6,2018,2018-05-19,139
15.2,2018,2018-04-13,103
15.3,2018,2018-04-01,91
15.4,2018,2018-04-01,91
15.5,2018,2018-04-13,103
15.6,2018,2018-04-13,103
15.7,2018,2018-04-13,103
15.8,2018,2018-05-31,151
15.9,2018,2018-04-13,103
16.0,2018,2018-03-08,67
16.2,2018,2018-04-25,115
16.3,2018,2018-04-13,103
16.4,2018,2018-04-13,103
16.5,2018,2018-04-13,103
16.8,2018,2018-05-31,151
16.9,2018,2018-05-31,151
17.0,2018,2018-05-31,151
17.1,2018,2018-05-07,127
17.2,2018,2018-05-07,127
17.3,2018,2018-05-19,139
17.4,2018,2018-05-19,139
17.5,2018,2018-05-31,151
17.6,2018,2018-05-31,151
17.7,2018,2018-05-19,139
17.8,2018,2018-05-31,151
17.9,2018,2018-05-31,151
18.0,2018,2018-05-31,151
18.1,2018,2018-05-31,151
18.4,2018,2018-05-19,139
18.5,2018,2018-05-19,139
18.7,2018,2018-05-19,139
19.5,2018,2018-05-19,139
0.1,2019,2019-03-27,86
0.2,2019,2019-03-27,86
0.3,2019,2019-04-20,110
0.4,2019,2019-04-20,110
0.6,2019,2019-03-03,62
0.7,2019,2019-03-03,62
0.8,2019,2019-03-03,62
0.9,2019,2019-03-03,62
1.0,2019,2019-03-03,62
1.1,2019,2019-04-20,110
1.3,2019,2019-06-07,158
1.4,2019,2019-04-20,110
1.6,2019,2019-04-20,110
1.7,2019,2019-03-27,86
1.8,2019,2019-03-27,86
1.9,2019,2019-03-27,86
2.0,2019,2019-04-20,110
2.1,2019,2019-04-20,110
2.2,2019,2019-03-27,86
2.3,2019,2019-03-27,86
2.4,2019,2019-03-03,62
2.5,2019,2019-03-03,62
2.6,2019,2019-03-03,62
2.8,2019,2019-05-14,134
2.9,2019,2019-05-14,134
3.0,2019,2019-03-03,62
3.1,2019,2019-03-03,62
3.2,2019,2019-03-03,62
3.3,2019,2019-03-03,62
3.4,2019,2019-05-02,122
3.5,2019,2019-05-02,122
3.6,2019,2019-05-02,122
3.7,2019,2019-05-02,122
3.8,2019,2019-03-03,62
3.9,2019,2019-03-03,62
4.0,2019,2019-03-03,62
4.1,2019,2019-03-03,62
4.2,2019,2019-03-03,62
4.3,2019,2019-03-27,86
4.4,2019,2019-03-27,86
4.5,2019,2019-03-27,86
4.6,2019,2019-03-27,86
4.7,2019,2019-03-27,86
4.8,2019,2019-03-27,86
4.9,2019,2019-03-27,86
5.0,2019,2019-03-27,86
5.1,2019,2019-03-27,86
5.2,2019,2019-05-02,122
5.3,2019,2019-05-14,134
5.4,2019,2019-05-14,134
5.5,2019,2019-05-14,134
5.6,2019,2019-05-14,134
5.7,2019,2019-05-14,134
5.8,2019,2019-05-14,134
5.9,2019,2019-05-14,134
6.0,2019,2019-05-14,134
6.1,2019,2019-05-14,134
6.2,2019,2019-03-15,74
6.3,2019,2019-03-15,74
6.4,2019,2019-03-15,74
6.5,2019,2019-03-15,74
6.6,2019,2019-05-14,134
6.7,2019,2019-05-14,134
6.8,2019,2019-05-14,134
7.3,2019,2019-03-15,74
7.4,2019,2019-05-02,122
7.5,2019,2019-05-14,134
7.6,2019,2019-05-14,134
7.7,2019,2019-05-14,134
7.8,2019,2019-04-20,110
7.9,2019,2019-04-20,110
8.3,2019,2019-03-27,86
8.4,2019,2019-05-26,146
8.7,2019,2019-05-02,122
8.8,2019,2019-05-02,122
8.9,2019,2019-03-03,62
9.0,2019,2019-05-02,122
9.1,2019,2019-05-02,122
9.5,2019,2019-05-14,134
9.6,2019,2019-05-14,134
9.7,2019,2019-05-14,134
9.8,2019,2019-05-14,134
10.2,2019,2019-05-14,134
10.5,2019,2019-05-02,122
10.6,2019,2019-04-20,110
10.7,2019,2019-04-20,110
10.8,2019,2019-05-14,134
11.4,2019,2019-06-07,158
11.5,2019,2019-06-07,158
12.0,2019,2019-05-14,134
12.1,2019,2019-05-14,134
12.2,2019,2019-05-26,146
12.3,2019,2019-05-26,146
12.5,2019,2019-05-26,146
12.6,2019,2019-05-26,146
12.7,2019,2019-05-26,146
12.8,2019,2019-05-26,146
12.9,2019,2019-05-26,146
13.0,2019,2019-05-14,134
13.1,2019,2019-05-14,134
13.2,2019,2019-05-26,146
13.3,2019,2019-05-26,146
13.4,2019,2019-05-26,146
13.5,2019,2019-05-14,134
13.6,2019,2019-05-14,134
13.7,2019,2019-05-14,134
13.8,2019,2019-05-26,146
14.1,2019,2019-05-26,146
14.2,2019,2019-05-02,122
14.3,2019,2019-05-02,122
14.4,2019,2019-05-26,146
14.6,2019,2019-05-26,146
14.7,2019,2019-05-26,146
14.8,2019,2019-06-07,158
15.4,2019,2019-05-26,146
15.8,2019,2019-05-02,122
16.2,2019,2019-05-26,146
16.3,2019,2019-04-20,110
16.6,2019,2019-04-20,110
16.7,2019,2019-04-20,110
17.6,2019,2019-03-03,62
17.7,2019,2019-03-03,62
17.8,2019,2019-03-15,74
17.9,2019,2019-03-27,86
18.4,2019,2019-05-14,134
18.5,2019,2019-05-14,134
18.6,2019,2019-05-26,146
18.7,2019,2019-04-20,110
18.8,2019,2019-05-26,146
18.9,2019,2019-04-20,110
19.0,2019,2019-05-02,122
19.1,2019,2019-05-02,122
19.2,2019,2019-04-20,110
19.3,2019,2019-05-26,146
19.4,2019,2019-05-26,146
19.5,2019,2019-04-20,110
19.6,2019,2019-05-26,146
19.7,2019,2019-05-26,146
19.8,2019,2019-05-26,146
19.9,2019,2019-05-26,146
20.0,2019,2019-03-03,62
20.1,2019,2019-05-02,122
20.2,2019,2019-05-02,122
20.3,2019,2019-05-02,122
20.4,2019,2019-05-02,122
20.5,2019,2019-05-02,122
20.6,2019,2019-03-03,62
20.7,2019,2019-03-03,62
0.0,2020,2020-03-21,81
0.1,2020,2020-03-21,81
0.2,2020,2020-03-21,81
0.6,2020,2020-06-13,165
0.7,2020,2020-06-13,165
0.8,2020,2020-04-14,105
1.2,2020,2020-03-09,69
1.4,2020,2020-03-09,69
1.5,2020,2020-03-09,69
1.6,2020,2020-03-21,81
1.7,2020,2020-06-13,165
1.8,2020,2020-06-13,165
2.0,2020,2020-06-13,165
2.4,2020,2020-05-20,141
2.5,2020,2020-05-20,141
2.6,2020,2020-05-20,141
2.7,2020,2020-03-21,81
2.8,2020,2020-03-21,81
2.9,2020,2020-03-21,81
3.0,2020,2020-03-21,81
3.1,2020,2020-03-21,81
3.5,2020,2020-06-01,153
3.9,2020,2020-06-01,153
4.0,2020,2020-04-02,93
4.1,2020,2020-04-02,93
4.2,2020,2020-05-20,141
4.3,2020,2020-05-20,141
4.7,2020,2020-06-01,153
4.8,2020,2020-06-01,153
5.7,2020,2020-06-01,153
5.8,2020,2020-06-01,153
5.9,2020,2020-06-01,153
6.0,2020,2020-06-01,153
6.3,2020,2020-06-01,153
7.5,2020,2020-03-21,81
