distance_km,year,onset_date,onset_doy
23.4,2017,2017-03-25,84
23.5,2017,2017-03-25,84
23.6,2017,2017-03-25,84
23.7,2017,2017-03-25,84
23.8,2017,2017-04-18,108
23.9,2017,2017-04-18,108
24.0,2017,2017-03-25,84
24.1,2017,2017-03-25,84
24.2,2017,2017-03-01,60
24.3,2017,2017-03-01,60
24.4,2017,2017-03-01,60
24.5,2017,2017-03-01,60
24.6,2017,2017-03-01,60
24.7,2017,2017-03-25,84
24.8,2017,2017-03-01,60
24.9,2017,2017-03-01,60
25.0,2017,2017-03-25,84
25.1,2017,2017-03-25,84
25.2,2017,2017-03-25,84
25.3,2017,2017-03-25,84
25.4,2017,2017-03-25,84
25.5,2017,2017-03-25,84
25.6,2017,2017-03-25,84
25.7,2017,2017-03-25,84
25.8,2017,2017-03-25,84
25.9,2017,2017-03-25,84
26.0,2017,2017-03-25,84
26.1,2017,2017-03-25,84
26.2,2017,2017-03-25,84
26.3,2017,2017-04-06,96
26.4,2017,2017-04-06,96
26.5,2017,2017-04-06,96
26.6,2017,2017-04-06,96
26.8,2017,2017-04-06,96
27.6,2017,2017-04-30,120
27.7,2017,2017-04-30,120
27.9,2017,2017-03-25,84
28.1,2017,2017-04-06,96
28.2,2017,2017-04-06,96
28.3,2017,2017-04-06,96
28.4,2017,2017-04-06,96
29.0,2017,2017-04-06,96
29.1,2017,2017-04-06,96
29.16,2017,2017-04-06,96
0.6,2018,2018-03-08,67
0.9,2018,2018-05-07,127
1.2,2018,2018-03-08,67
1.5,2018,2018-03-08,67
1.6,2018,2018-03-08,67
1.7,2018,2018-03-08,67
3.5,2018,2018-05-07,127
3.9,2018,2018-03-08,67
4.0,2018,2018-03-08,67
4.1,2018,2018-03-08,67
4.3,2018,2018-03-08,67
4.4,2018,2018-03-08,67
4.7,2018,2018-03-08,67
4.8,2018,2018-03-08,67
4.9,2018,2018-05-07,127
5.0,2018,2018-05-07,127
5.1,2018,2018-05-07,127
5.3,2018,2018-03-08,67
9.2,2018,2018-05-07,127
9.4,2018,2018-05-07,127
9.5,2018,2018-05-07,127
9.6,2018,2018-05-07,127
10.9,2018,2018-03-08,67
11.0,2018,2018-03-08,67
11.1,2018,2018-03-08,67
11.2,2018,2018-03-08,67
11.3,2018,2018-03-08,67
11.5,2018,2018-03-08,67
11.6,2018,2018-03-08,67
11.7,2018,2018-03-08,67
11.8,2018,2018-03-08,67
11.9,2018,2018-05-07,127
12.0,2018,2018-05-07,127
12.1,2018,2018-05-07,127
12.2,2018,2018-05-07,127
12.3,2018,2018-05-07,127
12.4,2018,2018-03-08,67
12.5,2018,2018-03-08,67
12.6,2018,2018-03-08,67
12.7,2018,2018-05-07,127
12.8,2018,2018-05-07,127
12.9,2018,2018-05-07,127
13.0,2018,2018-05-07,127
13.1,2018,2018-05-07,127
13.2,2018,2018-03-08,67
13.3,2018,2018-03-08,67
13.4,2018,2018-03-08,67
13.5,2018,2018-03-08,67
14.2,2018,2018-05-07,127
14.3,2018,2018-05-07,127
14.4,2018,2018-05-07,127
14.5,2018,2018-05-07,127
14.6,2018,2018-05-07,127
14.7,2018,2018-05-07,127
14.8,2018,2018-05-07,127
14.9,2018,2018-05-07,127
15.0,2018,2018-05-07,127
15.1,2018,2018-05-07,127
15.2,2018,2018-05-07,127
15.3,2018,2018-05-07,127
15.4,2018,2018-05-07,127
15.5,2018,2018-05-07,127
15.6,2018,2018-05-07,127
15.7,2018,2018-05-07,127
15.8,2018,2018-05-07,127
15.9,2018,2018-05-07,127
16.0,2018,2018-05-07,127
16.1,2018,2018-05-07,127
16.2,2018,2018-05-07,127
16.3,2018,2018-05-07,127
16.4,2018,2018-05-07,127
16.5,2018,2018-05-07,127
16.6,2018,2018-05-07,127
16.7,2018,2018-05-07,127
16.8,2018,2018-05-07,127
16.9,2018,2018-03-08,67
17.0,2018,2018-05-07,127
17.1,2018,2018-05-07,127
17.2,2018,2018-05-07,127
17.5,2018,2018-05-07,127
17.7,2018,2018-05-07,127
17.9,2018,2018-05-07,127
18.0,2018,2018-05-07,127
18.5,2018,2018-03-08,67
18.6,2018,2018-03-08,67
18.7,2018,2018-03-08,67
18.8,2018,2018-03-08,67
18.9,2018,2018-05-07,127
19.0,2018,2018-03-08,67
19.1,2018,2018-05-07,127
19.2,2018,2018-03-08,67
19.3,2018,2018-03-08,67
19.4,2018,2018-05-07,127
19.5,2018,2018-05-07,127
19.6,2018,2018-03-08,67
19.7,2018,2018-03-08,67
19.8,2018,2018-03-08,67
20.2,2018,2018-05-07,127
20.3,2018,2018-05-07,127
20.6,2018,2018-03-08,67
20.7,2018,2018-05-07,127
20.8,2018,2018-03-08,67
20.9,2018,2018-03-08,67
21.7,2018,2018-03-08,67
21.8,2018,2018-03-08,67
21.9,2018,2018-03-08,67
22.0,2018,2018-05-07,127
22.1,2018,2018-05-07,127
22.2,2018,2018-05-07,127
22.3,2018,2018-03-08,67
22.4,2018,2018-03-08,67
22.5,2018,2018-03-08,67
22.8,2018,2018-03-08,67
22.9,2018,2018-03-08,67
23.0,2018,2018-03-08,67
23.1,2018,2018-03-08,67
23.2,2018,2018-03-08,67
23.3,2018,2018-05-07,127
23.4,2018,2018-03-08,67
23.5,2018,2018-03-08,67
23.6,2018,2018-03-08,67
23.7,2018,2018-03-08,67
23.8,2018,2018-03-08,67
23.9,2018,2018-03-08,67
24.0,2018,2018-03-08,67
24.1,2018,2018-03-08,67
24.2,2018,2018-03-08,67
24.3,2018,2018-03-08,67
24.4,2018,2018-03-08,67
24.5,2018,2018-03-08,67
24.6,2018,2018-04-25,115
24.7,2018,2018-04-01,91
24.8,2018,2018-04-01,91
24.9,2018,2018-04-01,91
25.0,2018,2018-04-01,91
25.1,2018,2018-04-01,91
25.2,2018,2018-04-01,91
25.3,2018,2018-03-20,79
25.4,2018,2018-04-01,91
25.5,2018,2018-04-25,115
25.6,2018,2018-03-20,79
25.7,2018,2018-03-20,79
25.8,2018,2018-04-01,91
25.9,2018,2018-04-01,91
26.0,2018,2018-04-01,91
26.1,2018,2018-04-01,91
26.2,2018,2018-04-01,91
26.3,2018,2018-03-20,79
26.4,2018,2018-03-20,79
26.5,2018,2018-03-20,79
26.6,2018,2018-03-20,79
26.7,2018,2018-03-20,79
26.8,2018,2018-03-20,79
26.9,2018,2018-04-01,91
27.0,2018,2018-04-01,91
27.1,2018,2018-03-20,79
1.7,2019,2019-03-15,74
1.9,2019,2019-04-08,98
2.1,2019,2019-05-02,122
2.2,2019,2019-04-08,98
3.1,2019,2019-03-15,74
3.2,2019,2019-03-15,74
3.3,2019,2019-03-15,74
3.4,2019,2019-03-15,74
