distance_km,year,onset_date,onset_doy
0.0,2018,2018-03-20,79
0.1,2018,2018-03-20,79
0.2,2018,2018-03-20,79
0.3,2018,2018-03-20,79
0.9,2018,2018-05-07,127
1.0,2018,2018-05-07,127
1.1,2018,2018-05-07,127
1.2,2018,2018-05-19,139
1.3,2018,2018-05-19,139
1.4,2018,2018-03-08,67
1.7,2018,2018-03-08,67
1.9,2018,2018-03-08,67
2.0,2018,2018-03-08,67
2.8,2018,2018-03-20,79
2.9,2018,2018-03-20,79
3.0,2018,2018-03-20,79
3.1,2018,2018-03-20,79
3.2,2018,2018-03-20,79
3.3,2018,2018-03-20,79
3.4,2018,2018-03-20,79
3.5,2018,2018-03-20,79
3.6,2018,2018-03-20,79
3.7,2018,2018-03-08,67
3.8,2018,2018-03-08,67
3.9,2018,2018-03-20,79
4.4,2018,2018-05-19,139
4.5,2018,2018-03-08,67
5.4,2018,2018-03-20,79
5.5,2018,2018-03-20,79
5.6,2018,2018-03-08,67
5.9,2018,2018-03-08,67
6.0,2018,2018-03-08,67
6.1,2018,2018-03-08,67
6.2,2018,2018-03-08,67
6.3,2018,2018-03-08,67
7.0,2018,2018-03-08,67
7.1,2018,2018-03-08,67
7.2,2018,2018-03-20,79
7.3,2018,2018-03-20,79
7.7,2018,2018-03-08,67
7.8,2018,2018-03-20,79
8.1,2018,2018-04-13,103
8.2,2018,2018-04-13,103
8.3,2018,2018-04-13,103
8.6,2018,2018-03-08,67
8.7,2018,2018-03-08,67
9.2,2018,2018-05-31,151
9.3,2018,2018-05-31,151
11.7,2018,2018-05-07,127
12.0,2018,2018-05-07,127
12.1,2018,2018-03-08,67
12.2,2018,2018-03-08,67
12.5,2018,2018-05-07,127
13.2,2018,2018-05-07,127
13.7,2018,2018-04-13,103
13.8,2018,2018-04-13,103
13.9,2018,2018-04-13,103
14.0,2018,2018-03-08,67
14.1,2018,2018-03-08,67
14.2,2018,2018-03-08,67
14.3,2018,2018-05-07,127
14.7,2018,2018-05-19,139
14.9,2018,2018-05-07,127
15.0,2018,2018-05-07,127
15.1,2018,2018-03-08,67
15.2,2018,2018-05-07,127
15.3,2018,2018-04-13,103
15.4,2018,2018-03-08,67
15.5,2018,2018-03-08,67
15.6,2018,2018-05-31,151
15.7,2018,2018-05-07,127
15.8,2018,2018-05-19,139
15.9,2018,2018-05-31,151
16.1,2018,2018-05-31,151
16.8,2018,2018-03-08,67
16.9,2018,2018-03-20,79
17.4,2018,2018-03-08,67
19.6,2018,2018-04-13,103
19.7,2018,2018-03-20,79
19.8,2018,2018-03-20,79
19.9,2018,2018-04-13,103
20.3,2018,2018-03-08,67
20.4,2018,2018-03-20,79
20.6,2018,2018-05-07,127
20.7,2018,2018-05-07,127
20.8,2018,2018-05-19,139
20.9,2018,2018-05-19,139
21.0,2018,2018-03-08,67
21.7,2018,2018-04-13,103
21.8,2018,2018-04-13,103
21.9,2018,2018-03-20,79
22.2,2018,2018-04-13,103
23.6,2018,2018-03-20,79
23.7,2018,2018-03-20,79
24.3,2018,2018-05-07,127
24.4,2018,2018-05-07,127
24.7,2018,2018-04-13,103
25.3,2018,2018-03-20,79
25.8,2018,2018-05-07,127
25.9,2018,2018-05-07,127
26.1,2018,2018-05-07,127
26.2,2018,2018-05-07,127
26.4,2018,2018-05-31,151
26.5,2018,2018-05-07,127
26.7,2018,2018-05-31,151
28.5,2018,2018-05-07,127
28.6,2018,2018-05-07,127
28.7,2018,2018-05-07,127
30.0,2018,2018-05-31,151
30.1,2018,2018-05-31,151
30.2,2018,2018-03-08,67
30.4,2018,2018-03-08,67
30.5,2018,2018-05-19,139
30.6,2018,2018-05-07,127
30.7,2018,2018-05-07,127
30.8,2018,2018-04-13,103
30.9,2018,2018-04-13,103
31.0,2018,2018-05-19,139
31.1,2018,2018-04-13,103
31.2,2018,2018-04-13,103
31.3,2018,2018-04-13,103
31.5,2018,2018-04-13,103
32.0,2018,2018-05-31,151
32.1,2018,2018-05-07,127
32.2,2018,2018-04-13,103
32.3,2018,2018-03-08,67
32.4,2018,2018-04-13,103
32.6,2018,2018-05-19,139
32.7,2018,2018-05-19,139
32.8,2018,2018-05-19,139
33.0,2018,2018-03-08,67
33.1,2018,2018-03-08,67
33.2,2018,2018-05-07,127
