distance_km,year,onset_date,onset_doy
18.3,2017,2017-03-01,60
18.4,2017,2017-03-01,60
19.3,2017,2017-03-01,60
34.5,2017,2017-03-01,60
34.6,2017,2017-03-01,60
34.7,2017,2017-03-01,60
34.8,2017,2017-03-01,60
34.9,2017,2017-03-01,60
35.0,2017,2017-03-01,60
35.1,2017,2017-03-01,60
35.2,2017,2017-03-01,60
35.4,2017,2017-03-25,84
35.5,2017,2017-03-25,84
35.6,2017,2017-03-25,84
35.7,2017,2017-03-25,84
35.8,2017,2017-03-25,84
35.9,2017,2017-03-25,84
36.0,2017,2017-03-25,84
36.1,2017,2017-03-25,84
36.2,2017,2017-03-25,84
36.3,2017,2017-03-25,84
36.4,2017,2017-03-01,60
36.5,2017,2017-03-01,60
36.6,2017,2017-03-13,72
36.7,2017,2017-03-13,72
36.8,2017,2017-03-25,84
36.9,2017,2017-03-25,84
37.0,2017,2017-03-25,84
37.1,2017,2017-03-13,72
37.2,2017,2017-03-25,84
37.3,2017,2017-03-13,72
37.5,2017,2017-05-12,132
37.6,2017,2017-05-12,132
37.7,2017,2017-05-12,132
37.8,2017,2017-06-05,156
38.0,2017,2017-04-06,96
38.1,2017,2017-04-06,96
38.2,2017,2017-04-06,96
38.26,2017,2017-03-25,84
0.1,2018,2018-05-07,127
1.4,2018,2018-05-07,127
1.5,2018,2018-03-08,67
3.2,2018,2018-05-07,127
3.5,2018,2018-05-07,127
4.1,2018,2018-05-07,127
4.2,2018,2018-05-07,127
4.6,2018,2018-03-08,67
6.0,2018,2018-05-07,127
6.3,2018,2018-05-07,127
7.7,2018,2018-05-07,127
8.3,2018,2018-03-08,67
9.5,2018,2018-05-07,127
9.6,2018,2018-05-07,127
10.5,2018,2018-05-07,127
10.6,2018,2018-05-07,127
10.7,2018,2018-05-07,127
10.8,2018,2018-05-07,127
11.5,2018,2018-05-07,127
12.7,2018,2018-03-08,67
14.3,2018,2018-03-08,67
23.0,2018,2018-04-25,115
23.1,2018,2018-04-25,115
23.5,2018,2018-04-25,115
23.6,2018,2018-04-25,115
23.7,2018,2018-04-25,115
23.8,2018,2018-04-25,115
23.9,2018,2018-04-25,115
24.0,2018,2018-04-25,115
24.1,2018,2018-04-25,115
24.2,2018,2018-04-25,115
24.3,2018,2018-04-25,115
24.4,2018,2018-04-25,115
24.5,2018,2018-04-25,115
24.6,2018,2018-04-25,115
24.7,2018,2018-04-25,115
24.8,2018,2018-04-25,115
24.9,2018,2018-04-25,115
25.3,2018,2018-04-25,115
25.4,2018,2018-04-25,115
25.5,2018,2018-04-25,115
25.6,2018,2018-04-25,115
25.7,2018,2018-04-25,115
25.8,2018,2018-04-25,115
25.9,2018,2018-04-25,115
26.0,2018,2018-04-01,91
26.1,2018,2018-04-01,91
26.2,2018,2018-04-25,115
26.7,2018,2018-04-01,91
26.8,2018,2018-04-01,91
26.9,2018,2018-04-01,91
27.0,2018,2018-03-20,79
27.1,2018,2018-03-20,79
27.2,2018,2018-03-20,79
27.3,2018,2018-03-20,79
27.4,2018,2018-03-20,79
27.5,2018,2018-03-20,79
27.6,2018,2018-03-20,79
27.7,2018,2018-03-20,79
27.8,2018,2018-03-20,79
27.9,2018,2018-03-20,79
28.0,2018,2018-03-20,79
28.1,2018,2018-03-20,79
28.2,2018,2018-03-20,79
28.3,2018,2018-03-20,79
28.4,2018,2018-03-20,79
28.5,2018,2018-03-20,79
28.6,2018,2018-03-20,79
28.7,2018,2018-03-20,79
